0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5047820040,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047820039,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047820038,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047820025,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047810047,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810046,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1
5047810043,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810042,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810041,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810040,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810039,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810037,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810033,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047810030,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810026,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810024,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
5047810021,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047810020,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810017,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810013,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810011,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810010,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810009,5,1,4,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1
5047810007,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810006,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1
5047810003,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1,1,1,1
5047810002,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047810001,4,1,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1
5047760360,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047760270,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047760180,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047760090,3,1,3,1,3,1,3,1,3,1,,1,3,1,3,1,3,1
5047760001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047750001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
5047740001,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
